Zachary Herivaux,1,2011-2015, New England Revolution (Not a college)
Radivoje Lekic,1
Shaun Maloney,1,1996-1999, Albion Boys Club (No Wikipedia link)
Ivan Trujillo,1,, Deportivo Cali (Not a college)
Michael Boxall,2,2007-2010, UC Santa Barbara Gauchos (College)
Guillermo Barros Schelotto,4,1985-1991, Gimnasia La Plata (Not a college)
Michael Tetteh,2,2008-2010, UC Santa Barbara Gauchos (College)
Laurent Ciman,1
Marco Donadel,1,1999-2001, Milan (Not a college)
Victor Mansaray,1,2012-2014, Seattle Sounders FC (Not a college)
Tim Ream,2,2006-2009, Saint Louis Billikens (College)
Thomas McManus,1
Evan James,1
Ian Christianson,2,2009-2012, Georgetown Hoyas (College)
Marcelo Carrera,3
Robert Ssejjemba,1,2000-2004, Former Virginia Intermont College (NAIA) (College)
Douglas Sequeira,2,, Saprissa
Jerry Tamashiro,1
Korede Aiyegbusi,3,2008-2009, NC State Wolfpack (College)
Didier Drogba,1,1997-1998, Le Mans (Not a college)
Mamadou Diouf,1
Colin Rolfe,1,2008-2011, Louisville Cardinals (College)
Tony Kuhn,2,1994-1997, Vanderbilt University (College)
Bradley Orr,1,2000-2002, Everton (Not a college)
Antoine Hoppenot,4,2008-2011, Princeton Tigers (College)
Pascal Bedrossian,2,1992-1994, AS Cannes (Not a college)
Carlos Valdes,5
Mohammed Saeid,1,2002-2009, West Bromwich Albion (Not a college)
Samuel Inkoom,1,2000-2007, Windy Professionals Football Academy (No Wikipedia link)
Guillermo Jara,4,1992-1995, University of San Diego (Not a college)
Orlando Ramirez,1
David Habarugira,1,2002-2006, Anderlecht (Not a college)
Denilson de Oliveira,1,, São Paulo (Not a college)
David Nakhid,1,1985-1987, American University (College)
Alain Rochat,3
Marcos Sanchez,1
Jean-Baptiste Pierazzi,2
Danilo da Silva,1,2004, Ginásio Pinhalense-SP (No Wikipedia link)
Hugh Dixon,3
Steve Bernal,2,1996-1999, Creighton Bluejays (College)
Sainey Nyassi,7,2001-2004, Gambia Ports Authority (Not a college)
Ryan Hollingshead,3,2009-2012, UCLA Bruins (College)
Bryce Alderson,3,2010, Portugal FC (Not a college)
Stefano Pinho,1,, Fluminense (Not a college)
Alecko Eskandarian,7,2000-2002, Virginia Cavaliers (College)
Marshall Leonard,6,1998-2001, Virginia (College)
Philip Salyer,3
Omar Jasseh,2,2008, Crystal Palace (Not a college)
David Quesada,1,1990-1991, San Diego State Aztecs (College)
Igor Juliao,1,, Fluminense (Not a college)
Michael Piserchio,1
Juan Manuel Martínez,1,, Vélez Sársfield (Not a college)
Tomasz Frankowski,1
Diego Rodriguez,1
Danny Earls,2,2005-2008, Aston Villa (Not a college)
Jámison Olave,8
Gale Agbossoumonde,2,2007, IMG Soccer Academy (Not a college)
Ali Curtis,3,1997-2000, Duke Blue Devils (College)
Jairo Arrieta,4
Emmanuel Osei,2
Chris Karcz,1
Steve Klein,1
Jean-Michel Boucicaut,1
Joel Kitamirike,1
Chad Marshall,12,2002-2003, Stanford Cardinal (Not a college)
Steven Caldwell,3,000?-1997, 000 (No Wikipedia link)
Shawn Medved,3,1985-1990, Evergreen State Geoducks (College)
Peter Byaruhanga,2,1998-1999, UAB Blazers (College)
Austin Washington,2,2005-2007, Gonzaga Bulldogs (College)
Gonzalo Verón,1,, Sportivo Italiano (Not a college)
Martin Munnelly,1,1988-1991, Columbia Lions (College)
Colin Clark,8
Logan Emory,2,2006-2009, Portland Pilots (College)
Gonzalo Segares,10,2001-2004, VCU Rams (College)
Paulo Dos Santos,1
Jose Valencia,3
Eric Vasquez,2,2001-03, UCF (College)
Thomas Piermayr,1
Eric Lewis,3
Earnie Stewart,2,, UDI'19
Nick Zimmerman,2,2005-2008, James Madison Dukes (College)
Joselito Vaca,4,1994-1998, Tahuichi Academy (No Wikipedia link)
David Roth,1
Antony De Avila,2
Kyle Miller,2
Cole Grossman,4,2007-2010, Duke Blue Devils (College)
Luke Boden,1,2000-2007, Sheffield Wednesday (Not a college)
Ross Paule,9,1994-1996, Creighton (College)
Eduardo Sebrango,1,1984-1991, Sancti Spíritus (Not a college)
Gonzalo Pineda,2
Alfredo Pacheco,1,1996-1999, FAS (Not a college)
Bryan Leyva,3,2000-2010, FC Dallas (Not a college)
Benoit Cheyrou,1,1997-1999, Lille (Not a college)
Sean Bowers,4,1989-1990, Quincy University (College)
Jordan Allen,2,2013, Virginia Cavaliers (College)
Winston Marshall,1
Karl Ouimette,4,2010-2012, Montreal Impact Academy (Not a college)
Cristian Fernandez,1
Steven Smith,1
Collin Martin,3,2012, Wake Forest Demon Deacons (College)
Alexandru Zotinca,7
Jorge Barrera,1
Thabiso Khumalo,3,2003-2004, Coastal Carolina Chanticleers (College)
Matt Horth,1,2007-2010, Gordon Fighting Scots (College)
Chris Armas,12,1990-1993, Adelphi Panthers (College)
Mike Randolph,3,2004-2005, Yavapai Roughriders (College)
Mikael Silvestre,1
Igor Simutenkov,3,1985-1989, SK EShVSM Moscow (Not a college)
Russell Teibert,5,2008, TFC Academy (Not a college)
Ryan Coiner,1,1999-02, University of San Diego (Not a college)
Joshua Gros,4,2000-2003, Rutgers Scarlet Knights (College)
Uchenna Okafor,5
Enzo Martinez,2,2009-2011, North Carolina Tar Heels (College)
Michael Thomas,2
Keon Daniel,4
Idris Ughiovhe,1,2002-2005, Howard Bison (College)
Paul Wright,4
Oscar Murillo,1,2005-2006, Boca Juniors (Not a college)
Brian Gil,1
Walter Cabrera,1,, Cerro Porteño (Not a college)
Corben Bone,5,2007-2009, Wake Forest Demon Deacons (College)
Wolde Harris,8,1994-1995, Clemson University (College)
Andrés Romero,3
Shane Battelle,1,1991-1993, St. Louis University (College)
Erick Torres,3,, Sport Boys (Not a college)
Patrick Mullins,2,2010-2013, Maryland Terrapins (College)
Harrison Afful,1,, Feyenoord Academy (College)
Daryl Powell,2
Paul Young,2
Andy Rose,4,2008-2011, UCLA Bruins (College)
Johnny Alcaraz,1
Orlando Perez,8
Josh Keller,4,1993-1997, UCLA (College)
Chris Henderson,11,1989-1990, UCLA (College)
Alex Grendi,1,2005-2008, Pennsylvania Quakers (College)
Manolo Sanchez,1,2012-2014, Clemson Tigers (College)
Dante Washington,9,1989-1993, Radford (College)
Sinisa Ubiparipovic,6,2004-2006, Akron Zips (College)
Brian Roberts,3
John Maessner,6,1987-1990, Virginia Cavaliers (College)
Igor Kostrov,1
Steve Shak,3,1996-1999, UCLA Bruins (College)
Claudio Suarez,4
Cam Wilder,1
Marcelo Herrera,1,, Gimnasia y Tiro (Not a college)
Pablo Ricchetti,3
Devon McTavish,6,2002-2005, West Virginia Mountaineers (College)
Michael Clark,8
Clint Dempsey,6,2001-2003, Furman Paladins (College)
Zach Loyd,6,2006-2009, North Carolina Tar Heels (College)
Clyde Simms,9,2000-2003, East Carolina Pirates (College)
Caleb Konstanski,1
Calen Carr,8,2001-2005, California Golden Bears (College)
Ronnie O'Brien,7
Robbie Keane,5,1995-1997, Wolverhampton Wanderers (Not a college)
Juan Pablo Garcia,2
Fabio Zuniga,1
Eric Chaisongkram,1
Seth Sinovic,6,2005-2009, Creighton Bluejays (College)
Mika Vayrynen,1
Santino Quaranta,11,2000-2001, IMG Soccer Academy (Not a college)
Jack McBean,5,2009-2011, LA Galaxy (Not a college)
Ramon Nunez,5,2003, SMU Mustangs (College)
Alexandre Morfaw,1,2000-2005, Nantes (Not a college)
Diaz Kambere,1,2003-2005, Trinity Western Spartans (College)
Michael Farfan,4,2009-2010, North Carolina Tar Heels (College)
Neven Markovic,1
Richie Marquez,2,2010-2013, Redlands Bulldogs (College)
 Leonardo,6
Khari Stephenson,8,2000-2003, Williams Ephs (College)
Toni Stahl,1,2006-2009, Connecticut Huskies (College)
Joao Batista,1
Joshua Patterson,1
Kendall Waston,2,, Saprissa
Collins John,1,2002-2004, Twente (Not a college)
Scott Vermillion,4
Osvaldo Alonso,7
Diphetogo Selolwane,4,2001, Saint Louis University (College)
Alex Martinez,1
Dairon Asprilla,1
Atiba Harris,10,2004-2006, St. Peters FC (Not a college)
Dan Calichman,5,1986-1990, Williams Ephmen (College)
Roland Aguilera,2,, Tahuichi Academy (No Wikipedia link)
Ezra Hendrickson,12,1990-93, Drake University (College)
Mikey Lopez,3,2011-2012, North Carolina Tar Heels (College)
Rob Valentino,3,2004-2007, San Francisco Dons (College)
Blake Camp,2,2002-2005, Duke Blue Devils (College)
Richard Mulrooney,12,1995-1998, Creighton Bluejays (College)
Marco Pappa,7,2004-2006, Municipal (Not a college)
Devin Barclay,5
Jeremy Aldrich,3,1995-1998, Butler Bulldogs (College)
Mark Wilson,2
Alejandro Farias,1
Taylor Morgan,1,2010-2012, George Mason Patriots (College)
German Mera,1,, Deportivo Cali (Not a college)
John O'Brien,1
Frederic Piquionne,2,1996-1999, Golden Star (Not a college)
Brek Shea,6,2005-2007, IMG Soccer Academy (Not a college)
Bryan Gaul,2,2008-2011, Bradley Braves (College)
Carlos Marinelli,2,1996-1999, Boca Juniors (Not a college)
Alan Gordon,12
Arnold Cruz,1
Rob Lovejoy,1,2010-2014, North Carolina Tar Heels (College)
Fernando Cardenas,1,, Deportivo Pereira (Not a college)
Edgar Hernandez,1
Chris Gbandi,5,1999-2001, Connecticut Huskies (College)
Nigel Reo-Coker,3,1997-2002, Wimbledon (Not a college)
Andrei Pacheco,1
Mustapha Jarju,1,, Wallidan (Not a college)
Tom McLaughlin,1
Nick LaBrocca,9,2003-2006, Rutgers Scarlet Knights (College)
Ricardo Pierre-Louis,1,2005-2007, Lee Flames (College)
Ryan Edwards,1
Matt McKeon,7,1992-1995, St. Louis Billikens (College)
Kenny Cutler,4,2000-2003, Clemson Tigers (College)
Marc Burch,10,2005, Maryland Terrapins (College)
Onyekachi Apam,1,2005-2006, Nice (Not a college)
Yann Ekra,1,2001-2007, Lyon (Not a college)
Baggio Husidic,5,2006-2008, UIC Flames (College)
Jason Boyce,2,1994-1997, Washington Huskies (College)
Henry Gutierrez,4,1988-1991, NC State Wolfpack (College)
Julian Valentin,2,2004-2007, Wake Forest Demon Deacons (College)
Brad Evans,9,2003-2006, UC Irvine Anteaters (College)
Tyler Rosenlund,1,2004-2006, UC Santa Barbara Gauchos (College)
Wade Barrett,10
Maksim Usanov,1
Matt Knowles,3
Hamisi Amani-Dove,1,1995, Rutgers University (College)
Coy Craft,2,2011-2014, FC Dallas (Not a college)
Roberto Donadoni,2,1981-1982, Atalanta (Not a college)
London Woodberry,3,2009-2012, Maryland Terrapins (College)
Martin Rivero,3,2006-2008, Rosario Central (Not a college)
Jose Luis Morales,1
Florian Lechner,1,1996-2001, VfB Stuttgart (Not a college)
Victor Sikora,1
Ben Sweat,1,2010-2013, South Florida Bulls (College)
Eddie Lewis,7
Antti Sumiala,1
Andres Murriagui,1
Kevin Harmse,4,1995-2000, Metro Ford (No Wikipedia link)
Micheal Azira,2,2010-2011, Mobile Rams (College)
Christopher Carrieri,4
Michael Fucito,6,2004-2008, Harvard Crimson (College)
Jerry Bengtson,4
Felix Brillant,2,2002-2003, Franklin Pierce Ravens (College)
Geovanni Deiberson,1
Johann Smith,2,, Bolton Wanderers (Not a college)
Eric Stevenson,1
