Player,mlsYears,youthYears,youthTeam,ntlCaps
Michael Kraus,3
Eric Bird,1,2011-2014, Virginia Cavaliers (College),0
Andre Nunley,1
Igor Kostrov,1
Carlos Mendes,8,1998-2001, Old Dominion Monarchs (College),0
Argenis Fernandez,2,2004-2005, Santos de Guápiles (Not a college),4
Iain Fraser,1
Sean Franklin,8,2004-2007, Cal State Northridge Matadors (College),4
Bojan Vuckovic,1
Mike Reidy,1,2009-2012, Colgate Raiders (College),0
Jean-Michel Boucicaut,1
Jan Solli,2
Alan Gordon,12
Michael Holody,3,2005-2008, Michigan Wolverines (College),0
Chris Pozniak,2,1994-1995, Scarborough Azzurri Blues (No Wikipedia link),17
Luis Landin,2
Austin Da Luz,2
Temoc Suarez,3,1993-1996, North Carolina Tar Heels (College),0
Yannick Smith,1,2009-2012, Old Dominion Monarchs (College),0
Chris Dawes,1
Luis Solignac,1,0000-2008, 0000 (No Wikipedia link),0
Fred DeGand,1,1997-2000, Bowling Green Falcons (College),0
Benjamin Benditson,2,2003-2004, Northridge Matadors (College),0
Andre Lewis,2
Esteban Arias,2,2002-2004, Connecticut Huskies (College),0
Hermann Urbas,1,2000-2001, SpVgg Unterhaching (Not a college),0
Alex Blake,1
Alex dos Santos,1,1994-1996, Meitokugijuku High School (No Wikipedia link),0
Mix Diskerud,1,2005-2008, Stabæk (Not a college),9
Greg Vanney,10,1993-1995, UCLA Bruins (College),37
Christian Duke,2,2009-2012, San Diego Toreros (College),0
Connor Brandt,1,2012-2014, San Diego Toreros (College),0
Mario Torres,2
Mike Petke,13,1994-1997, Southern Connecticut State Owls (College),2
Marvin Iraheta,2,2010-2011, New York Cosmos U-23 (Not a college),18
Mark Sherrod,2,2009-2013, Memphis Tigers (College),0
Tahj Jakins,5,1993-1996, UCLA Bruins (College),0
Frank Yallop,3,1982-1983, Ipswich Town (Not a college),52
Sébastien Le Toux,7,2001-2004, Rennes (Not a college),0
Michael Green,3
Jake Traeger,2
Jean-Martial Kipre,1,1995-2004, Paris St. Germain (Not a college),0
Yann Songo'o,1,2009-2010, Zaragoza (Not a college),0
Paul Islas,1,2009-2012, Fresno Pacific Sunbirds (College),2
Lee Nguyen,4,2005, Indiana Hoosiers (College),9
Chad Barson,3,2009-2012, Akron Zips (College),21
Edmundo Zura,1,2001, Imbabura SC (Not a college),11
Craig Capano,5,2001, Chicago Sockers (Not a college),0
